,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
388,388,Downside School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82419/table/33/downside-school,Bath,,11.3,35.3,63,267=,48.7,252=,Private,"Primary School Education: Reception, Key Stage 1 and 2 Rated Good by Ofsted – Click to ... View the latest Sporting Fixtures for Downside Primary School ...","Stratton-on-the-Fosse, Radstock BA3 4RJ",", Stratton-on-the-Fosse
Radstock, Bath, Somerset, BA3 4RJ",51.31623676,-2.494411472,Mixed (11 to 18). Mixed sixth form,,,,,364 (11-18),www.downside.co.uk,"Day K &pound 5,827 - K &pound 6,908 (11-18) includes lunch","Boarding K &pound 6,841 - K &pound 12,032 (11-18)",0,0,1,1,6908,20724,1,1
389,389,The Cherwell School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83824/table/34/the-cherwell-school,Oxford,Comprehensive,12.5,35.3,61.6,195,41.8,176,State,"The Cherwell School is a secondary school with academy status on the Marston Ferry Road in Oxford, England. The current school site was built in 1963 as a ...","Marston Ferry Rd, Oxford OX2 7EE","Marston Ferry Road, Oxford, OX2 7EE",51.7761752,-1.25695593,Mixed (11 to 18). Mixed sixth form,,,,,"2,077",www.cherwell.oxon.sch.uk,,,0,0,1,1,0,0,1,
390,390,Durham School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82431/table/33/durham-school,Durham,,9.5,35,67.4,231,41.1,300,Private,"Durham School is an independent boarding and day school in the English public school tradition located in Durham, North East England and was an all-boys ...","Quarryheads Ln, Durham DH1 4SZ","Quarryheads Lane, Durham, DH1 4SZ",54.77007135,-1.584178065,Mixed (3 to 18). Mixed sixth form,"GBP 14,718–16,794","GBP 16,000",Good,Co-educational,538 (3-18),www.durhamschool.co.uk,"Day K &pound 4,420 - K &pound 5,331 (11-18)","Boarding K &pound 8,225 - K &pound 11,235 (11-18)",0,0,1,1,5331,15993,1,1
391,391,Townley Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83759/table/34/townley-grammar-school,Bexleyheath,Selective (100%),11.1,35,65.8,148,65.4,71=,State,"Townley Grammar School is a grammar school with academy status for girls on Townley Road, Bexleyheath, in the London Borough of Bexley, England.","Townley Rd, Bexleyheath DA6 7AB","Townley Road, Bexleyheath, Kent, DA6 7AB",51.4501624,0.1389185,Girls (11 to 18). Mixed sixth form,,,,,"1,611",www.townleygrammar.org.uk,,,0,1,1,0,0,0,1,
392,392,Kesteven and Grantham Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83820/table/34/kesteven-and-grantham-girls-school,Grantham,Selective (100%),12.1,34.9,67.4,137=,52.9,129,State,"Kesteven and Grantham Girls' School (KGGS) is a grammar school with academy status for girls in Grantham, Lincolnshire, established in 1910.","Sandon Rd, Grantham NG31 9AU","Sandon Road, Grantham, Lincolnshire, NG31 9AU",52.9133362,-0.633864328,Girls (11 to 18),,,,,"1,207",www.kestevengrantham.lincs.sch.uk,,,0,1,0,0,0,0,1,
393,393,Wolverhampton Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82215/table/33/wolverhampton-grammar-school,Wolverhampton,,12.1,34.8,63.5,263,61.9,170=,Private,"Wolverhampton Grammar School is a co-educational independent school in Wolverhampton, England. Wolverhampton Grammar School. Big School.jpg. Address.","Compton Rd, Wolverhampton WV3 9RB","Compton Road, Wolverhampton, West Midlands, WV3 9RB",52.58524925,-2.150472391,Mixed (7 to 18). Mixed sixth form,"GBP 7,689–14,715","GBP 12,500",Excellent,Co-educational,725 (7-18),www.wgs.org.uk,"Day K &pound 4,785 (11-18)",,0,0,1,1,4785,14355,1,
394,394,Wellington School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82382/table/33/wellington-school,Wellington,,10.1,34.7,66.6,237=,50.4,241=,Private,"Wellington College exists to provide young people with the knowledge, skills and character to fulfil their potential and serve the changing world in which they ...",", Wellington, Somerset, England","South Street, Wellington, Somerset, TA21 8NT",50.97552395,-3.226758382,Mixed (3 to 18). Mixed sixth form,,,,,801 (3-18),www.wellington-school.org.uk,"Day K &pound 4,935 - K &pound 5,595 (11-18)","Boarding K &pound 8,425 - K &pound 11,330 (11-18)",0,0,1,1,5595,16785,1,1
395,395,"St Benedict's RC High School, Alcester",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87512/table/34/st-benedicts-rc-high-school-alcester,Alcester,Comprehensive,4.8,34.5,73,82=,21.3,375=,State,"Welcome to St Benedict's Catholic High School and Sixth Form, ... We are extremely lucky to be situated in Alcester and bordered by the beautiful ...","Kinwarton Rd, Alcester B49 6PX","Kinwarton Road, Alcester, Warwickshire, B49 6PX",52.21817653,-1.865389815,Mixed (11 to 18). Mixed sixth form,,,,,673,www.st-benedicts.org,,,0,0,1,1,0,0,1,
396,396,Alcester Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86552/table/34/alcester-grammar-school,Alcester,Selective (100%),9.8,34.5,66.7,141=,63.7,77,State,"Alcester Grammar School (AGS) is a co-educational 11-18 maintained selective grammar school, situated in Alcester, Warwickshire, England. On 1 April 2011, ...","Birmingham Rd, Alcester B49 5ED","Birmingham Road, Alcester, Warwickshire, B49 5ED",52.2185746,-1.875124852,Mixed (11 to 18). Mixed sixth form,,,,,"1,342",www.alcestergs.com,,,0,0,1,1,0,0,1,
397,397,Heathside School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84145/table/34/heathside-school,Weybridge,Comprehensive,9.8,34.5,64.8,159,37.7,210,State,"Heathside School Hampstead is a vibrant and nurturing school for children from age 2, set in historic buildings in the heart of Hampstead.","Brooklands Lane, Weybridge, Surrey, England","Brooklands Lane, Weybridge, Surrey, KT13 8UZ",51.3649909,-0.465348642,Mixed (11 to 18). Mixed sixth form,,,,,"1,269",www.heathside.surrey.sch.uk,,,0,0,1,1,0,0,1,
398,398,Cowbridge Comprehensive School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84074/table/34/cowbridge-comprehensive-school,Cowbridge,Comprehensive,12.2,34.5,62.3,188,44.5,161,State,"Cowbridge Comprehensive School is a secondary school in the town of Cowbridge, Vale of Glamorgan, near Cardiff, Wales.","Aberthin Rd, Cowbridge CF71 7EN","Aberthin Road, Cowbridge, Vale of Glamorgan, CF71 7EN",51.4641983,-3.437681306,Mixed (11 to 18). Mixed sixth form,,,,,"1,528",www.cowbridgecomprehensiveschool.co.uk,,,0,0,1,1,0,0,1,
399,399,"Queen Elizabeth's Grammar, Alford",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83852/table/34/queen-elizabeths-grammar-alford,Alford,Selective (100%),14.5,34.4,67.8,127=,45.8,154,State,"Queen Elizabeth's Grammar School, Alford (QEGS) is a selective, co-educational, academy status Grammar School and Sixth Form in Alford, Lincolnshire, England.","Station Rd, Alford LN13 9HY","Station Road, Alford, Lincolnshire, LN13 9HY",53.2573491,0.171396734,Mixed (11 to 18). Mixed sixth form,,,,,544,http://www.queenelizabeths.co.uk,,,0,0,1,1,0,0,1,
400,400,Mossbourne Community Academy,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87489/table/34/mossbourne-community-academy,Hackney,Comprehensive,12.4,34.4,63.8,169,38.6,202=,State,"The design for the Mossbourne Community Academy replaces the former Hackney Downs School and accommodates 1000 pupils aged 11-16, with a special focus on ...","100 Downs Park Rd, Lower Clapton, London E5 8JY","100 Downs Park Road, Hackney, Hackney, E5 8JY",51.55144595,-0.062039864,Mixed (11 to 18). Mixed sixth form,,,,,"1,455",www.mca.mossbourne.org,,,0,0,1,1,0,0,1,
401,401,The St Marylebone C of E School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83864/table/34/the-st-marylebone-c-of-e-school,London,Partially selective (9%),11.8,34.3,68.3,123,45.5,156,State,"St Marylebone C of E School is a secondary school for girls in Marylebone, London. It specialises in Performing Arts, Maths & Computing. In the sixth form, ...","64 Marylebone High St, London W1U 5BA","64 Marylebone High Street, London, W1U 5BA",51.5216463,-0.1517631,Girls (11 to 18). Mixed sixth form,,,,,"1,154",www.stmaryleboneschool.com,,,0,1,1,0,0,0,1,
402,402,MPW London,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86700/table/33/mpw-london,South Kensington,,9.4,34.2,65.3,247,47.9,261,Private,"Welcome to MPW, sixth form colleges offering the best A Level, GCSE, Retake and Easter revision courses in London, Birmingham and Cambridge.","90-92 Queen's Gate, South Kensington, London SW7 5AB","90-92 Queen's Gate, South Kensington, South Kensington, SW7 5AB",52.195495,0.123033,Mixed (14 to 19). Mixed sixth form,,,,,439 (14-19),https://www.mpw.ac.uk,"Day K &pound 10,252 (14-19)",,0,0,1,1,10252,30756,1,
403,403,Bay House School and Sixth Form,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84120/table/34/bay-house-school-and-sixth-form,Gosport,Comprehensive,9.3,34.1,68,125,17.3,395,State,"Bay House School is a coeducational secondary school and sixth form located in Gosport, Hampshire, England. Bay House School. Bay House School ...","Bay House School & Sixth Form. Gomer Lane, Gosport PO12 2QP","Gomer Lane, Alverstoke, Gosport, Hampshire, PO12 2QP",50.78749251,-1.164706818,Mixed (11 to 18). Mixed sixth form,,,,,"2,201",https://bayhouse.gfmat.org,,,0,0,1,1,0,0,1,
404,404,Ysgol Gyfun Gymraeg Bro Myrddin,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84113/table/34/ysgol-gyfun-gymraeg-bro-myrddin,Carmarthen,Comprehensive,9,34.1,63.3,175=,33.4,250,State,"Ysgol Gyfun Gymraeg Bro Myrddin is a Welsh-medium school in Carmarthenshire, Wales. It is situated near the village of Croesyceiliog, about 11⁄4 miles (2 ...","Croesyceiliog, Carmarthen SA32 8DN","Croes-y-Ceiliog, Caerfyrddin, Carmarthen, Wales, SA32 8DN",51.83526955,-4.307271673,Mixed (11 to 18). Mixed sixth form,,,,,928,www.yggbm.org,,,0,0,1,1,0,0,1,
405,405,King Henry VIII School (now Bablake and King Henry VIII School),https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82327/table/33/king-henry-viii-school-now-bablake-and-king-henry-viii-school,Coventry,,12.1,34.1,63.2,266,60.1,182=,Private,"King Henry VIII School is an independent co-educational school for children aged 3-18, located on Warwick Road just outside of Coventry city centre.","Warwick Rd, Coventry CV3 6AQ","Warwick Road, Coventry, CV3 6AQ",52.3993,-1.5169,Mixed (3 to 18). Mixed sixth form,,,,,648 (11-18),https://www.bkhs.org.uk,"Day K &pound 4,220 (11-18)",,0,0,1,1,4220,12660,1,
406,406,Portadown College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84108/table/34/portadown-college,Portadown,Selective (100%),8.6,33.9,71,105,44.8,160,State,"Portadown College is an academically selective, co-educational post-14 grammar school in Portadown, County Armagh, Northern Ireland.","Killycomain Rd, Craigavon BT63 5BU","Killicomaine Road, Portadown, Co Armagh, BT63 5BU",54.4239498,-6.425445272,Mixed (14 to 18). Mixed sixth form,,,,,765,www.portadowncollege.com,,,0,0,1,1,0,0,1,
407,407,Weald of Kent Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83803/table/34/weald-of-kent-grammar-school,Tonbridge,Selective (100%),9.1,33.9,69,116=,57.1,104,State,"Weald of Kent Grammar School is a selective or grammar school with academy status in Tonbridge, Kent, England, for girls aged 11–18 and boys aged 16–18.","Tudeley Ln, Tonbridge TN9 2JP","Tudeley Lane, Tonbridge, Kent, TN9 2JP",51.1834284,0.282926879,Girls (11 to 18). Mixed sixth form,,,,,"1,817",www.wealdofkent.kent.sch.uk,,,0,1,1,0,0,0,1,
408,408,Alexandra Park School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/88289/table/34/alexandra-park-school,London,Comprehensive,9.2,33.9,66.5,143=,40.7,188=,State,"Alexandra Park School is a coeducational secondary school and sixth form with academy status, located in the Muswell Hill area of the London Borough of ...",Reports,"Bidwell Gardens, London, N11 2AZ",51.6021426,-0.136145046,Mixed (11 to 18). Mixed sixth form,,,,,"1,797",www.alexandrapark.school,,,0,0,1,1,0,0,1,
409,409,Blackheath High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82308/table/33/blackheath-high-school-gdst,Blackheath,,12.4,33.8,68.5,221,64.4,154,Private,"Blackheath High School & Sixth Form for GDST. Blackheath High School is an independent day school for girls in Blackheath Village, London and is part of The ...","27 Vanbrugh Park, London SE3 7AG","Vanbrugh Park, Blackheath, Blackheath, SE3 7AG",51.4777,0.0155,Girls (3 to 18),,,,,736 (3-18),www.blackheathhighschool.gdst.net,"Day K &pound 5,713 (11-18)",,0,1,0,0,5713,17139,1,
410,410,Dartford Grammar School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83827/table/34/dartford-grammar-school-for-girls,Dartford,Selective (100%),8.1,33.8,65.2,157,66.2,67,State,"Dartford Grammar School for Girls is a grammar school for girls in Dartford, Kent, England. Formerly known as Dartford County School, the school opened in ...","Shepherds Ln, Dartford DA1 2NT","Shepherds Lane, Dartford, Kent, DA1 2NT",51.4428755,0.203593495,Girls (11 to 18). Mixed sixth form,,,,,"1,244",www.dartfordgrammargirls.kent.sch.uk,,,0,1,1,0,0,0,1,
411,411,"Elizabeth College, Guernsey",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82472/table/33/elizabeth-college-guernsey,Guernsey,,12.3,33.8,61.8,274,50.8,239,Private,"The Royal College of Elizabeth, better known as Elizabeth College, is a co-educational independent school in Saint Peter Port, Guernsey.","La Grange, Guernsey GY1 2PY, Guernsey","The Grange, Guernsey, Guernsey, GY1 2PY",49.45676104,-2.540299204,"Boys, mixed prep (2 to 18). Mixed sixth form",,,,,827 (2-18),www.elizabethcollege.gg,"Day K &pound 4,324 (11-18)",,1,0,1,0,4324,12972,1,
412,412,The Dixie Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82298/table/33/the-dixie-grammar-school,Market Bosworth,,9.4,33.8,56.1,305=,54.3,225,Private,"Dixie Grammar School is an independent school in Market Bosworth, Leicestershire. Dixie Grammar school. Market Bosworth - Dixie Grammar School ...","Station Road, Market Bosworth, Leicestershire, England","Market Place, Market Bosworth, Market Bosworth, Leicestershire, CV13 0LE",52.62450385,-1.403118913,Mixed (3 to 18). Mixed sixth form,,,,,467 (3-18),www.dixie.org.uk,"Day K &pound 4,365 (10-18)",,0,0,1,1,4365,13095,1,
413,413,Highworth Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83765/table/34/highworth-grammar-school,Ashford,Selective (100%),11.3,33.7,65.4,154=,59.3,97,State,"Highworth Grammar School is a selective secondary school (grammar school) in Ashford, Kent. The school also admits boys to the sixth form.","Maidstone Rd, Ashford TN24 8UD","Maidstone Road, Ashford, Kent, TN24 8UD",51.15477675,0.864320835,Girls (11 to 18). Mixed sixth form,,,,,"1,519",www.highworth.kent.sch.uk,,,0,1,1,0,0,0,1,
414,414,Simon Langton Girls' Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83746/table/34/simon-langton-girls-grammar-school,Canterbury,Selective (100%),-,33.7,62.7,185,54.5,122,State,"Based in Canterbury, Kent, Simon Langton Girls' Grammar School firmly believe that for students to do well, they have to feel good about being at school and ...","Old Dover Rd, Canterbury CT1 3EW","Old Dover Road, Canterbury, Kent, CT1 3EW",51.2646807,1.095453858,Girls (11 to 18). Mixed sixth form,,,,,"1,174",www.langton.kent.sch.uk,,,0,1,1,0,0,0,1,
415,415,Ryde School with Upper Chine,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82411/table/33/ryde-school-with-upper-chine,Ryde,,10.4,33.7,59.8,284,41.3,299,Private,"Ryde School with Upper Chine (referred to as “Ryde School”) is a co-educational independent day and boarding school in Ryde, on the Isle of Wight.","7 Queen's Rd, Ryde PO33 3BE","7 Queen's Road, Ryde, Isle of Wight, PO33 3BE",50.72915925,-1.168137535,Mixed (2 to 18). Mixed sixth form,,,,,522 (11-18),www.rydeschool.org.uk,"Day K &pound 4,730(11-18)","Boarding K &pound 9,295 - K &pound 10,420 (11-18)",0,0,1,1,4730,14190,1,1
416,416,Oldham Hulme Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82247/table/33/oldham-hulme-grammar-school,Oldham,,10.7,33.7,59.3,287,53.1,227,Private,"Oldham Hulme Grammar School, Oldham, United Kingdom. 4760 likes · 728 talking about this. www.ohgs.co.uk.","Chamber Rd, Oldham OL8 4BX","Chamber Road, Oldham, Lancashire, OL8 4BX",53.52975535,-2.122346506,"Mixed, taught separately 11-16 (3 to 18). Mixed sixth form",,,,,795 (3-18),www.hulme-grammar.oldham.sch.uk,"Day K &pound 3,995 (11-18)",,0,0,1,0,3995,11985,1,
417,417,Our Lady of Sion School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82429/table/33/our-lady-of-sion-school,Worthing,,7.6,33.6,68.8,214,45.2,275=,Private,,"Gratwicke Road, Worthing, West Sussex, England","Gratwicke Road, Worthing, West Sussex, BN11 4BL",50.81263145,-0.377425066,Mixed (3 to 18). Mixed sixth form,,,,,378 (3-18),www.sionschool.org.uk,"Day K &pound 4,575 - K &pound 4,730 (11-18)",,0,0,1,1,4730,14190,1,
418,418,"All Saints RC School, York",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83980/table/34/all-saints-rc-school-york,York,Comprehensive,10.4,33.6,63.2,177=,29.2,303=,State,,"Mill Mount Lane, York YO24 1BJ","Mill Mount, York, North Yorkshire, YO24 1BJ",53.9511618,-1.09435398,Mixed (11 to 18). Mixed sixth form,,,,,"1,418",www.allsaints.york.sch.uk,,,0,0,1,1,0,0,1,
419,419,Shrewsbury High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82526/table/33/shrewsbury-high-school-gdst,Shrewsbury,,10.6,33.6,61.7,275,57.8,201=,Private,"Shrewsbury High School, Shrewsbury, Shropshire. 2465 likes · 279 talking about this · 1319 were here. All-through, all-girl ages 4-18. Proud to be part...","32 Town Walls, Shrewsbury SY1 1TN","32 Town Walls, Shrewsbury, Shropshire, SY1 1TN",52.7057493,-2.757135302,"Girls, mixed prep (3 to 18)",,,,,433 (3-18),www.shrewsburyhigh.gdst.net,"Day K &pound 4,866 - K &pound 4,970 (11-18)",,0,1,0,0,4970,14910,1,
420,420,Urmston Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83860/table/34/urmston-grammar-school,Manchester,Selective (100%),-,33.5,64,167=,61.2,87,State,"Urmston Grammar, Manchester, United Kingdom. 1605 likes · 27 talking about this. Urmston Grammar is a Selective Grammar, an Independent State Academy,...","Newton Rd, Urmston, Manchester M41 5UG","Newton Road, Urmston, Manchester, M41 5UG",53.45103305,-2.360649312,Mixed (11 to 18). Mixed sixth form,,,,,"1,060",www.urmstongrammar.org.uk,,,0,0,1,1,0,0,1,
421,421,Newcastle-under-Lyme School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82365/table/33/newcastle-under-lyme-school,Newcastle-under-Lyme,,11.1,33.5,62.8,271,62.3,167=,Private,"Newcastle-under-Lyme School is a mixed Independent day school in the town of Newcastle-under-Lyme in Staffordshire, England. It came about by a merger of ...","Mount Pleasant, Newcastle-under-Lyme, Newcastle ST5 1DB","Mount Pleasant, Newcastle-under-Lyme, Staffordshire, ST5 1DB",53.0093071,-2.221155357,Mixed (3 to 18). Mixed sixth form,,,,,819 (3-18),www.nuls.org.uk,"Day K &pound 4,482 (11-18)",,0,0,1,1,4482,13446,1,
422,422,St Laurence School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84153/table/34/st-laurence-school,Bradford-on-Avon,Comprehensive,8.8,33.5,61.4,198,31.4,272,State,"At St Laurence we aim to help children develop in their journey of faith in a positive learning environment. We place Jesus, His teachings and His values at the ...","Ashley Road, Bradford-on-Avon, Wiltshire, England","Ashley Road, Bradford-on-Avon, Wiltshire, BA15 1DZ",51.3519934,-2.25973973,Mixed (11 to 18). Mixed sixth form,,,,,"1,426",https://st-laurence.com,,,0,0,1,1,0,0,1,
423,423,Guildford County School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83902/table/34/guildford-county-school,Guildford,Comprehensive,12.5,33.5,60.8,201,38,206,State,"Guildford County School (GCS) is a co-educational day school on Farnham Road (A31), Guildford, England, 200 metres from Guildford town centre.","County School, Farnham Rd, Guildford GU2 7AT","Farnham Road, Guildford, Surrey, GU2 4LU",51.2344075,-0.584567424,Mixed (11 to 18). Mixed sixth form,,,,,"1,147",www.guildfordcounty.co.uk,,,0,0,1,1,0,0,1,
424,424,Stowe School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87991/table/33/stowe-school,Buckingham,,9.7,33.4,67.7,229,44.9,279,Private,"Stowe School is a public school in Stowe, England. It opened on 11 May 1923, initially with 99 schoolboys, and with J. F. Roxburgh as the first headmaster.","Stowe, Buckingham MK18 5EH","Stowe, Buckingham, MK18 5EH",52.0314576,-1.018050833,Mixed (13 to 18). Mixed sixth form,"GBP 23,619–23,619","GBP 23,500",Excellent,Co-educational,822 (13-18),www.stowe.co.uk,"Day K &pound 7,301 - K &pound 9,311 (13-18) includes lunch","Boarding K &pound 12,951 (13-18)",0,0,1,1,9311,27933,1,1
425,425,Ysgol Y Preseli,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83853/table/34/ysgol-y-preseli,Crymych,Comprehensive,8.2,33.4,63.6,170=,29.7,294=,State,,Crymych SA41 3QH,"Heol Hermon, Crymych, Pembrokeshire, SA41 3QH",51.9708063,-4.647538,Mixed (11 to 18). Mixed sixth form,,,,,795,www.ysgolypreseli.com,,,0,0,1,1,0,0,1,
426,426,Roundwood Park School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87950/table/34/roundwood-park-school,Harpenden,Comprehensive,13.4,33.4,61.2,199,37.9,207,State,"Roundwood Park School is a mixed, 11-18 secondary school with academy status situated in Harpenden, Hertfordshire, UK. Opened in 1956, it currently has ...","Roundwood Park, Harpenden AL5 3AE","Roundwood Park, Harpenden, Hertfordshire, AL5 3AE",51.81998155,-0.374319278,Mixed (11 to 18). Mixed sixth form,,,,,"1,316",www.roundwoodpark.co.uk,,,0,0,1,1,0,0,1,
427,427,The Broxbourne School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84021/table/34/the-broxbourne-school,Broxbourne,Partially selective (10%),10.7,33.3,65.4,154=,33.5,247=,State,,"Badgers Walk, Broxbourne EN10 7FU","Badgers Walk, Broxbourne, Hertfordshire, EN10 7FU",51.74077015,-0.025735953,Mixed (11 to 18). Mixed sixth form,,,,,"1,314",www.broxbourne.herts.sch.uk,,,0,0,1,1,0,0,1,
428,428,Kenilworth School and Sixth Form,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86981/table/34/kenilworth-school-and-sixth-form,Kenilworth,Comprehensive,10.7,33.3,64.6,161=,32.8,255=,State,,"Rouncil Ln, Kenilworth CV8 1FN","Leyes Lane, Kenilworth, Warwickshire, CV8 2DA",52.3454069,-1.560209074,Mixed (11 to 18). Mixed sixth form,,,,,"1,863",www.ksn.org.uk,,,0,0,1,1,0,0,1,
429,429,MPW Birmingham,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/88738/table/33/mpw-birmingham,Birmingham,,-,33.3,63,267=,36.7,318,Private,"MPW Birmingham · Page · Secondary school · 17-18 Greenfield Crescent, Edgbaston, Birmingham, United Kingdom · +44 121 454 9637 · birmingham@mpw.ac.uk · mpw.ac.uk/ ...","The Cube, 200 Wharfside St, Birmingham B1 1PR","16-18 Greenfield Crescent, Edgbaston, Birmingham, B15 3AU",52.46967775,-1.921766427,Mixed (14 to 19). Mixed sixth form,,,,,242 (14-19),www.mpw.ac.uk,"Day K &pound 5,148 - K &pound 7,722 (14-19)",,0,0,1,1,7722,23166,1,
430,430,The Fallibroome Academy,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83912/table/34/the-fallibroome-academy,Macclesfield,Comprehensive,9.9,33.2,64.6,161=,32.8,255=,State,,"Priory Ln, Macclesfield SK10 4AF","Priory Lane, Macclesfield, Cheshire, SK10 4AF",53.26993125,-2.163154261,Mixed (11 to 18). Mixed sixth form,,,,,"1,554",www.fallibroome.academy,,,0,0,1,1,0,0,1,
431,431,The John Lyon School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82315/table/33/the-john-lyon-school,Harrow on the Hill,,9.7,33.1,61.2,278,62.9,164,Private,"John Lyon School is an academically selective independent boys and girls' day school in Harrow on the Hill, Greater London, England. The school was founded ...","Middle Rd, Harrow HA2 0HN","Middle Road, Harrow on the Hill, Middlesex, HA2 0HN",51.5715453,-0.344093342,Mixed (11 to 18). Mixed sixth form,,,,,600 (11-18),www.johnlyon.org,"Day K &pound 6,637 - K &pound 6,393 (11-18) includes lunch 11-16",,0,0,1,1,6393,19179,1,
432,432,Cockermouth School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84072/table/34/cockermouth-school,Cockermouth,Comprehensive,9.6,33.1,58,240=,29.4,299=,State,"Cockermouth School, Cockermouth. 2944 likes · 160 talking about this · 2010 were here. Cockermouth School is an 11-18 co-education comprehensive school...","Castlegate Dr, Cockermouth CA13 9HF","Castlegate Drive, Cockermouth, Cumbria, CA13 9HF",54.66878655,-3.350097899,Mixed (11 to 18). Mixed sixth form,,,,,"1,327",www.cockermouthschool.org,,,0,0,1,1,0,0,1,
433,433,Bourne Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83780/table/34/bourne-grammar-school,Bourne,Selective (100%),9.7,33,63.2,177=,56.3,110=,State,,"South Rd, Bourne PE10 9JE","South Road, Bourne, Lincolnshire, PE10 9JE",52.762348,-0.375651891,Mixed (11 to 18). Mixed sixth form,,,,,"1,687",www.bourne-grammar.lincs.sch.uk,,,0,0,1,1,0,0,1,
